keV  freq
14.8  316.9733
15.3  882.2812
15.8  2211.908
16.3  4892.647
16.8  9961.523
17.3  18480.29
17.8  32265.16
18.3  52730.18
18.8  82561.4
19.3  122617.7
19.8  175883.4
20.3  242158.7
20.8  324752.3
21.3  421058.7
21.8  534275
22.3  661058.2
22.8  804515.2
23.3  958966.7
23.8  1.128229e+6
24.3  1.299265e+6
24.8  1.476152e+6
25.3  1.662698e+6
25.8  1.862442e+6
26.3  2.060230e+6
26.8  2.261507e+6
27.3  2.459626e+6
27.8  2.660396e+6
28.3  2.854064e+6
28.8  3.045610e+6
29.3  3.223266e+6
29.8  3.394304e+6
30.3  3.557415e+6
30.8  3.718630e+6
31.3  3.872628e+6
31.8  4.023423e+6
32.3  4.162400e+6
32.8  4.295903e+6
33.3  4.415794e+6
33.8  4.529043e+6
34.3  4.630743e+6
34.8  4.725364e+6
35.3  4.810628e+6
35.8  4.891562e+6
36.3  4.961327e+6
36.8  5.025832e+6
37.3  5.082623e+6
37.8  5.134727e+6
38.3  5.176954e+6
38.8  5.214169e+6
39.3  5.244602e+6
39.8  5.272531e+6
40.3  5.293371e+6
40.8  5.309836e+6
41.3  5.319898e+6
41.8  5.327031e+6
42.3  5.327804e+6
42.8  5.326201e+6
43.3  5.320838e+6
43.8  5.313311e+6
44.3  5.301612e+6
44.8  5.288305e+6
45.3  5.271204e+6
45.8  5.253267e+6
46.3  5.231750e+6
46.8  5.208193e+6
47.3  5.180908e+6
47.8  5.152145e+6
48.3  5.122227e+6
48.8  5.093055e+6
49.3  5.060424e+6
49.8  5.025850e+6
50.3  4.989995e+6
50.8  4.954069e+6
51.3  4.915152e+6
51.8  4.875642e+6
52.3  4.836780e+6
52.8  4.798656e+6
53.3  4.760842e+6
53.8  4.720257e+6
54.3  4.678503e+6
54.8  4.636308e+6
55.3  4.592985e+6
55.8  4.549251e+6
56.3  4.507314e+6
56.8  4.463913e+6
57.3  4.421292e+6
57.8  3.174536e+7
58.3  4.336740e+6
58.8  4.293702e+6
59.3  5.217865e+7
59.8  4.206117e+6
60.3  4.161778e+6
60.8  4.118043e+6
61.3  4.075186e+6
61.8  4.033183e+6
62.3  3.991172e+6
62.8  3.947251e+6
63.3  3.905543e+6
63.8  3.865534e+6
64.3  3.823234e+6
64.8  3.779728e+6
65.3  3.739296e+6
65.8  3.699199e+6
66.3  3.658193e+6
66.8  3.616861e+6
67.3  1.981788e+7
67.8  3.536161e+6
68.3  3.497428e+6
68.8  3.458101e+6
69.3  7.673766e+6
69.8  3.072007e+6
70.3  3.042872e+6
70.8  3.013069e+6
71.3  2.984299e+6
71.8  2.955107e+6
72.3  2.926332e+6
72.8  2.897986e+6
73.3  2.869451e+6
73.8  2.840953e+6
74.3  2.813125e+6
74.8  2.784799e+6
75.3  2.755698e+6
75.8  2.726256e+6
76.3  2.698050e+6
76.8  2.670797e+6
77.3  2.644266e+6
77.8  2.617411e+6
78.3  2.589735e+6
78.8  2.561677e+6
79.3  2.534061e+6
79.8  2.506878e+6
80.3  2.480070e+6
80.8  2.452858e+6
81.3  2.426928e+6
81.8  2.401962e+6
82.3  2.376384e+6
82.8  2.350545e+6
83.3  2.324282e+6
83.8  2.297218e+6
84.3  2.271215e+6
84.8  2.246032e+6
85.3  2.221237e+6
85.8  2.196818e+6
86.3  2.172731e+6
86.8  2.148456e+6
87.3  2.124394e+6
87.8  2.100591e+6
88.3  2.076352e+6
88.8  2.051956e+6
89.3  2.028586e+6
89.8  2.005555e+6
90.3  1.982108e+6
90.8  1.958510e+6
91.3  1.935939e+6
91.8  1.914540e+6
92.3  1.891665e+6
92.8  1.868597e+6
93.3  1.845877e+6
93.8  1.823492e+6
94.3  1.802054e+6
94.8  1.781664e+6
95.3  1.760046e+6
95.8  1.738297e+6
96.3  1.716796e+6
96.8  1.695559e+6
97.3  1.674633e+6
97.8  1.654279e+6
98.3  1.633357e+6
98.8  1.612690e+6
99.3  1.592934e+6
99.8  1.573855e+6
100.3  1.554379e+6
100.8  1.534951e+6
101.3  1.515127e+6
101.8  1.495613e+6
102.3  1.476272e+6
102.8  1.457132e+6
103.3  1.438307e+6
103.8  1.419906e+6
104.3  1.401021e+6
104.8  1.382359e+6
105.3  1.363962e+6
105.8  1.345820e+6
106.3  1.327873e+6
106.8  1.310217e+6
107.3  1.291739e+6
107.8  1.273220e+6
108.3  1.255394e+6
108.8  1.238094e+6
109.3  1.221034e+6
109.8  1.204222e+6
110.3  1.187029e+6
110.8  1.170035e+6
111.3  1.153264e+6
111.8  1.136713e+6
112.3  1.120389e+6
112.8  1.104242e+6
113.3  1.087346e+6
113.8  1.070379e+6
114.3  1.054086e+6
114.8  1.038297e+6
115.3  1.022674e+6
115.8  1.007119e+6
116.3  991316.6
116.8  975716.8
117.3  959960.8
117.8  944179.4
118.3  928931.4
118.8  913907
119.3  898708.6
119.8  883724
120.3  868564.3
120.8  853364.3
121.3  838687.5
121.8  824106.3
122.3  809368.3
122.8  794822.4
123.3  780148.6
123.8  765461.8
124.3  751240
124.8  736995.5
125.3  722386.5
125.8  707802.8
126.3  693651.2
126.8  679835.6
127.3  666422.4
127.8  652185.6
128.3  637891.1
128.8  623628
129.3  609775
129.8  596241
130.3  582796.1
130.8  568378.1
131.3  554392.6
131.8  540739.2
132.3  527020.2
132.8  513325.6
133.3  500068.5
133.8  486091.3
134.3  472120.6
134.8  458220.7
135.3  444648.2
135.8  431339.6
136.3  417996
136.8  403701
137.3  389755.9
137.8  376088.2
138.3  362426.1
138.8  348835.3
139.3  335058.9
139.8  319891.9
140.3  304797.6
140.8  289824
141.3  275139.9
141.8  260697.2
142.3  246369.8
142.8  231610.2
143.3  217131.8
143.8  202886.7
144.3  188730
144.8  174701.3
145.3  153228
145.8  124016.2
146.3  95230.9
146.8  66821.27
147.3  38731.26
147.8  10992.86
