keV  freq
15.2  731.7721
15.7  1834.49
16.2  4238.364
16.7  8631.456
17.2  16543.51
17.7  28873.62
18.2  48305.05
18.7  75734.03
19.2  114633
19.7  164527.9
20.2  229930.3
20.7  308348.2
21.2  404772.6
21.7  514305.9
22.2  642406.6
22.7  782287.6
23.2  939859.3
23.7  1.105792e+6
24.2  1.283666e+6
24.7  1.460185e+6
25.2  1.650777e+6
25.7  1.850033e+6
26.2  2.056568e+6
26.7  2.257520e+6
27.2  2.464559e+6
27.7  2.668533e+6
28.2  2.872370e+6
28.7  3.066371e+6
29.2  3.255999e+6
29.7  3.428716e+6
30.2  3.601211e+6
30.7  3.767926e+6
31.2  3.930697e+6
31.7  4.084960e+6
32.2  4.233823e+6
32.7  4.369446e+6
33.2  4.499522e+6
33.7  4.618789e+6
34.2  4.729188e+6
34.7  4.826982e+6
35.2  4.919547e+6
35.7  5.001964e+6
36.2  5.079482e+6
36.7  5.149415e+6
37.2  5.212067e+6
37.7  5.266513e+6
38.2  5.314830e+6
38.7  5.352718e+6
39.2  5.388122e+6
39.7  5.420512e+6
40.2  5.445699e+6
40.7  5.463508e+6
41.2  5.477321e+6
41.7  5.484424e+6
42.2  5.489081e+6
42.7  5.491044e+6
43.2  5.487897e+6
43.7  5.480826e+6
44.2  5.471220e+6
44.7  5.457265e+6
45.2  5.442427e+6
45.7  5.427312e+6
46.2  5.407252e+6
46.7  5.383471e+6
47.2  5.357444e+6
47.7  5.327562e+6
48.2  5.298446e+6
48.7  5.271478e+6
49.2  5.239733e+6
49.7  5.204415e+6
50.2  5.168540e+6
50.7  5.131325e+6
51.2  5.093441e+6
51.7  5.055556e+6
52.2  5.015814e+6
52.7  4.976698e+6
53.2  4.937168e+6
53.7  4.896538e+6
54.2  4.855399e+6
54.7  4.813025e+6
55.2  4.770590e+6
55.7  4.725534e+6
56.2  4.681239e+6
56.7  4.637567e+6
57.2  4.594731e+6
57.7  4.552649e+6
58.2  3.406096e+7
58.7  4.466161e+6
59.2  5.617508e+7
59.7  4.376143e+6
60.2  4.331363e+6
60.7  4.287015e+6
61.2  4.244040e+6
61.7  4.200617e+6
62.2  4.156888e+6
62.7  4.112290e+6
63.2  4.069502e+6
63.7  4.028936e+6
64.2  3.987486e+6
64.7  3.942408e+6
65.2  3.899281e+6
65.7  3.858585e+6
66.2  3.817490e+6
66.7  3.775441e+6
67.2  2.127274e+7
67.7  3.693043e+6
68.2  3.652308e+6
68.7  3.612317e+6
69.2  8.167171e+6
69.7  3.195273e+6
70.2  3.167148e+6
70.7  3.136632e+6
71.2  3.106718e+6
71.7  3.077436e+6
72.2  3.048627e+6
72.7  3.020270e+6
73.2  2.992292e+6
73.7  2.963038e+6
74.2  2.934194e+6
74.7  2.905719e+6
75.2  2.876838e+6
75.7  2.847140e+6
76.2  2.818862e+6
76.7  2.790821e+6
77.2  2.763289e+6
77.7  2.736287e+6
78.2  2.708831e+6
78.7  2.680507e+6
79.2  2.653044e+6
79.7  2.625004e+6
80.2  2.597279e+6
80.7  2.569804e+6
81.2  2.543348e+6
81.7  2.518179e+6
82.2  2.493123e+6
82.7  2.466418e+6
83.2  2.439495e+6
83.7  2.412059e+6
84.2  2.385488e+6
84.7  2.359980e+6
85.2  2.335301e+6
85.7  2.310023e+6
86.2  2.285118e+6
86.7  2.260579e+6
87.2  2.236294e+6
87.7  2.212210e+6
88.2  2.188374e+6
88.7  2.163060e+6
89.2  2.138614e+6
89.7  2.115257e+6
90.2  2.091705e+6
90.7  2.067708e+6
91.2  2.044537e+6
91.7  2.022378e+6
92.2  1.999514e+6
92.7  1.976146e+6
93.2  1.953121e+6
93.7  1.930434e+6
94.2  1.908510e+6
94.7  1.887458e+6
95.2  1.865748e+6
95.7  1.843642e+6
96.2  1.821804e+6
96.7  1.800207e+6
97.2  1.778919e+6
97.7  1.757929e+6
98.2  1.736704e+6
98.7  1.715713e+6
99.2  1.695451e+6
99.7  1.676114e+6
100.2  1.656569e+6
100.7  1.636600e+6
101.2  1.616438e+6
101.7  1.596609e+6
102.2  1.576979e+6
102.7  1.557512e+6
103.2  1.538345e+6
103.7  1.519521e+6
104.2  1.500394e+6
104.7  1.481469e+6
105.2  1.462804e+6
105.7  1.444397e+6
106.2  1.426200e+6
106.7  1.408221e+6
107.2  1.389603e+6
107.7  1.370761e+6
108.2  1.352490e+6
108.7  1.334927e+6
109.2  1.317599e+6
109.7  1.300569e+6
110.2  1.283157e+6
110.7  1.265926e+6
111.2  1.248918e+6
111.7  1.232131e+6
112.2  1.215566e+6
112.7  1.199306e+6
113.2  1.182319e+6
113.7  1.165068e+6
114.2  1.148370e+6
114.7  1.132365e+6
115.2  1.116535e+6
115.7  1.100975e+6
116.2  1.084977e+6
116.7  1.069182e+6
117.2  1.053324e+6
117.7  1.037284e+6
118.2  1.021691e+6
118.7  1.006785e+6
119.2  991419.7
119.7  976281.6
120.2  961063.2
120.7  945642.1
121.2  930660.5
121.7  916383.7
122.2  901565.7
122.7  886941.2
123.2  872267.3
123.7  857439.4
124.2  843005.4
124.7  829242.9
125.2  814639.5
125.7  799942.5
126.2  785617
126.7  771739.3
127.2  758029.7
127.7  744719.3
128.2  730508
128.7  716209.9
129.2  702268.6
129.7  688755.1
130.2  675221.5
130.7  661587.6
131.2  647872.1
131.7  634326.4
132.2  620759.4
132.7  607091.9
133.2  593750.8
133.7  580797.4
134.2  567406.9
134.7  553645.2
135.2  540176.6
135.7  527047.5
136.2  513949.4
136.7  500828.1
137.2  487529.1
137.7  474166.4
138.2  460825.7
138.7  447451.8
139.2  434363.8
139.7  421604.3
140.2  408402.8
140.7  394686.7
141.2  381232.4
141.7  368070.5
142.2  354974.8
142.7  341910.2
143.2  328043.4
143.7  313467.2
144.2  298976.2
144.7  284540.2
145.2  270287.7
145.7  256215.8
146.2  242364.1
146.7  228306
147.2  214348
147.7  200471.3
148.2  186819.5
148.7  173401.8
149.2  153343.2
149.7  125139.4
150.2  97325.62
150.7  69883.58
151.2  42745.38
151.7  15926.43
