keV  freq
8  1.014982e-13
8.5  9.647946e-11
9  9.236724e-8
9.5  7.845975e-6
10  0.0006714
10.5  0.0104703
11  0.1674075
11.5  1.259589
12  9.50127
12.5  41.00683
13  177.4823
13.5  537.9045
14  1636.803
14.5  3756.658
15  8639.797
15.5  16380.26
16  31123.19
16.5  50804.64
17  83025.41
17.5  121169.2
18  177235.9
18.5  239361.4
19  323689.6
19.5  410843.3
20  521725.9
20.5  630776.6
21  763552.8
21.5  888153
22  1.033994e+6
22.5  1.168836e+6
23  1.321284e+6
23.5  1.457392e+6
24  1.608288e+6
24.5  1.733008e+6
25  1.867475e+6
25.5  1.991760e+6
26  2.126672e+6
26.5  2.236347e+6
27  2.352971e+6
27.5  2.451593e+6
28  2.554303e+6
28.5  2.636057e+6
29  2.722157e+6
29.5  2.782634e+6
30  2.845718e+6
30.5  2.897177e+6
31  2.948745e+6
31.5  2.989036e+6
32  3.032025e+6
32.5  3.058040e+6
33  3.085416e+6
33.5  3.099715e+6
34  3.116548e+6
34.5  3.120727e+6
35  3.125937e+6
35.5  3.123515e+6
36  3.120578e+6
36.5  3.110035e+6
37  3.100810e+6
37.5  3.084022e+6
38  3.068178e+6
38.5  3.046193e+6
39  3.023131e+6
39.5  2.997599e+6
40  2.972394e+6
40.5  2.943167e+6
41  2.913442e+6
41.5  2.879520e+6
42  2.847735e+6
42.5  2.812194e+6
43  2.777686e+6
43.5  2.741402e+6
44  2.704805e+6
44.5  2.666325e+6
45  2.629143e+6
45.5  2.589924e+6
46  2.551744e+6
46.5  2.512664e+6
47  2.472786e+6
47.5  2.431406e+6
48  2.390539e+6
48.5  2.351189e+6
49  2.311600e+6
49.5  2.270165e+6
50  2.230513e+6
50.5  2.189210e+6
51  2.148934e+6
51.5  2.108367e+6
52  2.067665e+6
52.5  2.027878e+6
53  1.989160e+6
53.5  1.949128e+6
54  1.910063e+6
54.5  1.871273e+6
55  1.831814e+6
55.5  1.792411e+6
56  1.753465e+6
56.5  1.715576e+6
57  1.677539e+6
57.5  1.639757e+6
58  2.768878e+6
58.5  1.565920e+6
59  1.529294e+6
59.5  3.528567e+6
60  1.455617e+6
60.5  1.419406e+6
61  1.384016e+6
61.5  1.348110e+6
62  1.313034e+6
62.5  1.278443e+6
63  1.243036e+6
63.5  1.208930e+6
64  1.175136e+6
64.5  1.140968e+6
65  1.106664e+6
65.5  1.073198e+6
66  1.040675e+6
66.5  1.007032e+6
67  1.653793e+6
67.5  941490.7
68  908414.4
68.5  876087.5
69  1.021746e+6
69.5  811372.8
70  763046.3
70.5  732771.1
71  701039.7
71.5  670229.1
72  639606.4
72.5  608468.1
73  577078.8
73.5  545776.8
74  514573.7
74.5  482500.3
75  451115.6
75.5  417573.1
76  382164.7
76.5  347676.5
77  313864
77.5  279414.5
78  245701.6
78.5  206011.2
79  135771.2
79.5  67115.11
80  0
